City,Postal Code,Sub-Category,Product Name,Sales,Quantity,Discount,Year,Month
Henderson,42420,Bookcases,Bush Somerset Collection Bookcase,261.96,2,0.0,2013,11
Henderson,42420,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,3,0.0,2013,11
Los Angeles,90036,Labels,Self-Adhesive Address Labels for Typewriters by Universal,14.62,2,0.0,2013,6
Fort Lauderdale,33311,Tables,Bretford CR4500 Series Slim Rectangular Table,957.5775,5,0.45,2012,10
Fort Lauderdale,33311,Storage,Eldon Fold 'N Roll Cart System,22.368,2,0.2,2012,10
Los Angeles,90032,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,7,0.0,2011,6
Los Angeles,90032,Art,Newell 322,7.28,4,0.0,2011,6
Los Angeles,90032,Phones,Mitel 5320 IP Phone VoIP phone,907.152,6,0.2,2011,6
Los Angeles,90032,Binders,DXL Angle-View Binders with Locking Rings by Samsill,18.504,3,0.2,2011,6
Los Angeles,90032,Appliances,Belkin F5C206VTEL 6 Outlet Surge,114.9,5,0.0,2011,6
Los Angeles,90032,Tables,Chromcraft Rectangular Conference Tables,1706.184,9,0.2,2011,6
Los Angeles,90032,Phones,Konftel 250 Conference phone - Charcoal black,911.424,4,0.2,2011,6
Concord,28027,Paper,Xerox 1967,15.552,3,0.2,2014,4
Seattle,98103,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.976,3,0.2,2013,12
Fort Worth,76106,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",229.8689630004003,5,0.8,2012,11
Fort Worth,76106,Binders,Storex DuraTech Recycled Plastic Frosted Binders,2.544,3,0.8,2012,11
Madison,53711,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88,6,0.0,2011,11
West Jordan,84084,Storage,Fellowes Super Stor/Drawer,55.5,2,0.0,2011,5
San Francisco,94109,Art,Newell 341,8.56,2,0.0,2011,8
San Francisco,94109,Phones,Cisco SPA 501G IP Phone,213.48,3,0.2,2011,8
San Francisco,94109,Binders,"Wilson Jones Hanging View Binder, White, 1""",22.72,4,0.2,2011,8
Fremont,68025,Art,Newell 318,19.46,7,0.0,2013,12
Fremont,68025,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34,7,0.0,2013,12
Philadelphia,19140,Chairs,"Global Deluxe Stacking Chair, Gray",71.372,2,0.3,2014,7
Orem,84057,Tables,Bretford CR4500 Series Slim Rectangular Table,1044.63,3,0.0,2012,9
